Alter:22|AnzahlSportarten: 1|Regelmaessig:4|Pro Woche:3,5|Mo:19:00Di:18:00Mi:Do:Fr:00:00Sa:13:00So:17:00|Strukturiert:5.0||Abends|
04.01.2020,11:24,Sleep:4.0,Heute Sport
Temperatur:4.88,Feels Like:-2.08,Wetter:Leichter Regen,2020-01-04 12:00:00,Temperatur:5.26,Feels Like:-2.23,Wetter:Leichter Regen,2020-01-04 15:00:00,Temperatur:5.17,Feels Like:-1.53,Wetter:Leichter Regen,2020-01-04 18:00:00,Temperatur:3.28,Feels Like:-0.86,Wetter:Leichter Regen,2020-01-04 21:00:00,Temperatur:2.5,Feels Like:-0.51,Wetter:berwiegend bew¶lkt,2020-01-05 00:00:00,
04.01.2020,11:24,Essen:4.0
04.01.2020,11:24,Start:15:00,End:16:40,Geplannt
05.01.2020,15:20,Sleep:3.0,Heute vielleicht Sport
Temperatur:3.31,Feels Like:0.61,Wetter:Bedeckt,2020-01-05 15:00:00,Temperatur:1.31,Feels Like:-2.4,Wetter:berwiegend bew¶lkt,2020-01-05 18:00:00,Temperatur:2.78,Feels Like:-0.59,Wetter:Bedeckt,2020-01-05 21:00:00,Temperatur:2.45,Feels Like:-1.17,Wetter:Bedeckt,2020-01-06 00:00:00,
05.01.2020,15:20,Essen:4.0
06.01.2020,22:12,Sleep:1.0,Heute kein Sport
Temperatur:-0.44,Feels Like:-4.49,Wetter:Mig bewÃÂÃÂÃÂÃÂ¶lkt,2020-01-07 00:00:00,
06.01.2020,22:12,Essen:3.0
07.01.2020,20:20,Sleep:3.0,Heute Sport
Temperatur:1.85,Feels Like:-2.99,Wetter:MÃÂ¤ÃÂig bewÃÂ¶lkt,2020-01-07 21:00:00,Temperatur:2.59,Feels Like:-3.06,Wetter:MÃ¤Ãig bew¶lkt,2020-01-08 00:00:00,
07.01.2020,20:20,Essen:3.0
07.01.2020,20:21,Start:20:00,End:21:40,Geplannt

08.01.2020,23:42,Sleep:2.0,Heute kein Sport
Temperatur:7.19,Feels Like:4.67,Wetter:light rain,2020-01-09 00:00:00,
Datum:08.01.2020,Eingetragen:08.01.2020,23:42,Essen:3.0
10.01.2020,00:27,Sleep:4.0,Heute Sport
Temperatur:9.41,Feels Like:4.97,Wetter:light rain,2020-01-10 00:00:00,Temperatur:8.78,Feels Like:5.06,Wetter:overcast clouds,2020-01-10 03:00:00,Temperatur:7.7,Feels Like:3.89,Wetter:light rain,2020-01-10 06:00:00,Temperatur:6.95,Feels Like:3.6,Wetter:light rain,2020-01-10 09:00:00,Temperatur:7.79,Feels Like:4.21,Wetter:light rain,2020-01-10 12:00:00,Temperatur:6.73,Feels Like:2.85,Wetter:light rain,2020-01-10 15:00:00,Temperatur:5.46,Feels Like:0.08,Wetter:light rain,2020-01-10 18:00:00,Temperatur:3.64,Feels Like:-0.68,Wetter:light rain,2020-01-10 21:00:00,Temperatur:1.61,Feels Like:-2.77,Wetter:light rain,2020-01-11 00:00:00,
Datum:09.01.2020,Eingetragen:10.01.2020,00:27,Essen:4.0
Sport:09.01.2020,Start:19:00,End:21:00,Geplannt
Datum:10.01.2020,Eingetragen:11.01.2020,04:48,Essen:4.0
Sport:11.01.2020,Start:17:00,End:19:00,Geplannt
11.01.2020,04:48,Sleep:4.0,Heute Sport
Temperatur:0.82,Feels Like:-2.49,Wetter:clear sky,2020-01-11 06:00:00,Temperatur:2.05,Feels Like:-1.76,Wetter:broken clouds,2020-01-11 09:00:00,Temperatur:3.93,Feels Like:-1.09,Wetter:broken clouds,2020-01-11 12:00:00,Temperatur:2.7,Feels Like:-2.05,Wetter:overcast clouds,2020-01-11 15:00:00,Temperatur:1.09,Feels Like:-3.35,Wetter:overcast clouds,2020-01-11 18:00:00,Temperatur:0.87,Feels Like:-3.52,Wetter:overcast clouds,2020-01-11 21:00:00,Temperatur:0.62,Feels Like:-3.99,Wetter:overcast clouds,2020-01-12 00:00:00,
11.01.2020,22:54,Sleep:3.0,Heute kein Sport
Temperatur:0.97,Feels Like:-3.58,Wetter:overcast clouds,2020-01-12 00:00:00,
Datum:11.01.2020,Eingetragen:11.01.2020,22:54,Essen:3.0
12.01.2020,18:27,Sleep:4.0,Heute kein Sport
Temperatur:4.35,Feels Like:-0.61,Wetter:overcast clouds,2020-01-12 18:00:00,Temperatur:5.42,Feels Like:0.57,Wetter:light rain,2020-01-12 21:00:00,Temperatur:3.7,Feels Like:-0.44,Wetter:light rain,2020-01-13 00:00:00,
Datum:12.01.2020,Eingetragen:12.01.2020,18:27,Essen:4.0
13.01.2020,21:33,Sleep:3.0,Heute kein Sport
Temperatur:4.49,Feels Like:-1.73,Wetter:broken clouds,2020-01-13 21:00:00,Temperatur:5.72,Feels Like:-0.84,Wetter:overcast clouds,2020-01-14 00:00:00,
Datum:13.01.2020,Eingetragen:13.01.2020,21:33,Essen:4.0
14.01.2020,19:03,Sleep:3.0,Heute kein Sport
Temperatur:9.52,Feels Like:1.77,Wetter:overcast clouds,2020-01-14 21:00:00,Temperatur:9.32,Feels Like:2.98,Wetter:overcast clouds,2020-01-15 00:00:00,
Datum:14.01.2020,Eingetragen:14.01.2020,19:03,Essen:3.0
15.01.2020,21:36,Sleep:5.0,Heute Sport
Temperatur:10,Feels Like:6.56,Wetter:light rain,2020-01-15 21:00:00,Temperatur:8.19,Feels Like:4.83,Wetter:light rain,2020-01-16 00:00:00,
Datum:15.01.2020,Eingetragen:15.01.2020,21:36,Essen:5.0
Sport:15.01.2020,Start:18:00,End:19:45,Geplannt
16.01.2020,21:46,Sleep:4.0,Heute Sport
Temperatur:4.37,Feels Like:1,Wetter:clear sky,2020-01-16 21:00:00,Temperatur:4.09,Feels Like:0.78,Wetter:few clouds,2020-01-17 00:00:00,
Datum:16.01.2020,Eingetragen:16.01.2020,21:46,Essen:4.0
Sport:16.01.2020,Start:17:30,End:19:00,Geplannt
18.01.2020,12:35,Sleep:4.0,Heute kein Sport
Temperatur:3.68,Feels Like:-0.65,Wetter:light rain,2020-01-18 12:00:00,Temperatur:4.12,Feels Like:0.19,Wetter:light rain,2020-01-18 15:00:00,Temperatur:2.04,Feels Like:-2.91,Wetter:light snow,2020-01-18 18:00:00,Temperatur:1.33,Feels Like:-4.09,Wetter:few clouds,2020-01-18 21:00:00,Temperatur:0.46,Feels Like:-4.61,Wetter:clear sky,2020-01-19 00:00:00,
Datum:17.01.2020,Eingetragen:18.01.2020,12:35,Essen:4.0
19.01.2020,22:59,Sleep:3.0,Heute Sport
Temperatur:1.1,Feels Like:-1.92,Wetter:clear sky,2020-01-20 00:00:00,
Datum:18.01.2020,Eingetragen:19.01.2020,22:59,Essen:4.0
Datum:19.01.2020,Eingetragen:19.01.2020,22:59,Essen:4.0
Sport:19.01.2020,Start:18:00,End:19:00,Geplannt
22.01.2020,07:13,Sleep:4.0,Heute Sport
Temperatur:-0.15,Feels Like:-4.38,Wetter:broken clouds,2020-01-22 09:00:00,Temperatur:1.71,Feels Like:-1.76,Wetter:overcast clouds,2020-01-22 12:00:00,Temperatur:2.09,Feels Like:-1.41,Wetter:overcast clouds,2020-01-22 15:00:00,Temperatur:1.27,Feels Like:-1.59,Wetter:overcast clouds,2020-01-22 18:00:00,Temperatur:1.86,Feels Like:-0.46,Wetter:overcast clouds,2020-01-22 21:00:00,Temperatur:1.8,Feels Like:-0.45,Wetter:overcast clouds,2020-01-23 00:00:00,
Datum:21.01.2020,Eingetragen:22.01.2020,07:13,Essen:5.0
Datum:20.01.2020,Eingetragen:22.01.2020,07:13,Essen:4.0
23.01.2020,07:59,Sleep:5.0,Heute Sport
Temperatur:2.47,Feels Like:-0.22,Wetter:clear sky,2020-01-23 09:00:00,Temperatur:5.28,Feels Like:2.27,Wetter:clear sky,2020-01-23 12:00:00,Temperatur:3.26,Feels Like:0.22,Wetter:clear sky,2020-01-23 15:00:00,Temperatur:-0.16,Feels Like:-2.99,Wetter:clear sky,2020-01-23 18:00:00,Temperatur:-1,Feels Like:-4.15,Wetter:clear sky,2020-01-23 21:00:00,Temperatur:-1.1,Feels Like:-4.74,Wetter:clear sky,2020-01-24 00:00:00,
Datum:22.01.2020,Eingetragen:23.01.2020,08:00,Essen:4.0
Sport:23.01.2020,Start:19:30,End:21:00,Geplannt
Datum:23.01.2020,Eingetragen:23.01.2020,18:38,Essen:4.0
24.01.2020,20:17,Sleep:4.0,Heute kein Sport
Datum:24.01.2020,Eingetragen:24.01.2020,20:17,Essen:4.0
26.01.2020,05:33,Sleep:4.0,Heute Sport
Temperatur:-0.96,Feels Like:-5.13,Wetter:overcast clouds,2020-01-26 06:00:00,Temperatur:1.33,Feels Like:-2.99,Wetter:overcast clouds,2020-01-26 09:00:00,Temperatur:4.81,Feels Like:0.49,Wetter:overcast clouds,2020-01-26 12:00:00,Temperatur:3.33,Feels Like:-0.72,Wetter:broken clouds,2020-01-26 15:00:00,Temperatur:0.49,Feels Like:-4.12,Wetter:broken clouds,2020-01-26 18:00:00,Temperatur:0.42,Feels Like:-4.08,Wetter:few clouds,2020-01-26 21:00:00,Temperatur:0.83,Feels Like:-3.69,Wetter:few clouds,2020-01-27 00:00:00,
Datum:25.01.2020,Eingetragen:26.01.2020,05:34,Essen:4.0
Sport:25.01.2020,Start:18:00,End:19:20,Geplannt
26.01.2020,17:12,Sleep:3.0,Heute kein Sport
Temperatur:0.41,Feels Like:-3.96,Wetter:broken clouds,2020-01-26 18:00:00,Temperatur:0.63,Feels Like:-3.94,Wetter:few clouds,2020-01-26 21:00:00,Temperatur:0.83,Feels Like:-3.82,Wetter:few clouds,2020-01-27 00:00:00,
Datum:26.01.2020,Eingetragen:26.01.2020,17:12,Essen:4.0
27.01.2020,22:27,Sleep:3.0,Heute kein Sport
Temperatur:5.95,Feels Like:1.49,Wetter:light rain,2020-01-28 00:00:00,
Datum:27.01.2020,Eingetragen:27.01.2020,22:27,Essen:4.0
28.01.2020,23:58,Sleep:4.0,Heute vielleicht Sport
Temperatur:1.7,Feels Like:-3.74,Wetter:light snow,2020-01-29 00:00:00,
Datum:28.01.2020,Eingetragen:28.01.2020,23:58,Essen:4.0
29.01.2020,17:51,Sleep:3.0,Heute Sport
Temperatur:1.96,Feels Like:-4.69,Wetter:broken clouds,2020-01-29 18:00:00,Temperatur:1.31,Feels Like:-3.75,Wetter:scattered clouds,2020-01-29 21:00:00,Temperatur:2.29,Feels Like:-2.95,Wetter:broken clouds,2020-01-30 00:00:00,
Datum:29.01.2020,Eingetragen:29.01.2020,17:51,Essen:4.0
30.01.2020,23:22,Sleep:5.0,Heute Sport
Temperatur:10.71,Feels Like:6.32,Wetter:light rain,2020-01-31 00:00:00,
Datum:30.01.2020,Eingetragen:30.01.2020,23:23,Essen:5.0
Sport:30.01.2020,Start:21:30,End:23:00,Geplannt
01.02.2020,22:52,Sleep:3.0,Heute kein Sport
Temperatur:6.08,Feels Like:-0.57,Wetter:light rain,2020-02-02 00:00:00,
Datum:31.01.2020,Eingetragen:01.02.2020,22:52,Essen:4.0
Datum:01.02.2020,Eingetragen:01.02.2020,22:52,Essen:4.0
